Introduction to Physical and Human Geography,3,"*ECON1001 (SOPH-0012), ECON1002 (SOPH-0011), HIST1001 (SOPH-0022), HIST1002 (SOPH-0025), PSYC1010 (SOPH-0048), or SOCI1010 (SOPH-0051)"
Composition: Successful Self-Expression,3,"*ENG1002 (SOPH-0030), ENG1020 (SOPH-0049), or ENG1001 (SOPH-0015)"
"Health, Fitness, and Wellness",4,*HLTH1010 (SOPH-0063) or HLTH1011 (SOPH-0080)
Ethics in Technology,3,
American Politics and the US Constitution,3,*HIST1020 (SOPH-0071)
Introduction to Communication: Connecting with Others,3,"*COMM1002 (SOPH-0024), COMM1010 (SOPH-0034), or BUSI1025 (SOPH-0059)"
Global Arts and Humanities,3,"*ArtHist1001 (SOPH-0006), ArtHist1002 (SOPH-0029), PHIL1001 (SOPH-0027), PHIL1002 (SOPH-0020), REL1001 (SOPH-0008), VisComm1001 (SOPH-0009), or BUSI1020 (SOPH-0076)"
Technical Communication,3,
Applied Probability and Statistics,3,*STAT1001 (SOPH-0005)
Calculus I,4,*MATH1040 (SOPH-0060)
Discrete Mathematics I,4,
Discrete Mathematics II,4,
Natural Science Lab,2,"*SCIE1021 (SOPH-0067), CHEM1002 (SOPH-0070), SCIE1051 (SOPH-0072), SCIE1046 (SOPH-0075), or SCIE1056 (SOPH-0082)"
